geometry,avg_rent,index
POINT (229687.21557243887 5074643.124134847),19798.29,0
POINT (229687.21557243887 5076046.646279452),19798.29,1
POINT (230909.72349484733 5073239.806290317),19798.29,2
POINT (230909.72349484733 5076046.646279452),19798.29,3
POINT (232132.2314172557 5073239.806290317),19798.29,4
POINT (232132.2314172557 5074643.124134847),19798.29,5
POINT (233354.7393396642 5073239.806290317),27079.14,6
POINT (233354.7393396642 5074643.124134847),27079.14,7
POINT (233354.7393396642 5076046.646279452),19798.29,8
POINT (234577.2472620726 5062020.606628657),14750.75,9
POINT (234577.2472620726 5069031.077580827),31092.31,10
POINT (234577.2472620726 5070433.783110889),33619.29,11
POINT (234577.2472620726 5071836.692648201),33794.82,12
POINT (234577.2472620726 5073239.806290317),30625.58,13
POINT (234577.2472620726 5074643.124134847),25002.77,14
POINT (235799.75518448107 5060619.123096473),14750.75,15
POINT (235799.75518448107 5062020.606628657),14750.75,16
POINT (235799.75518448107 5069031.077580827),29186.6,17
POINT (235799.75518448107 5070433.783110889),32570.62,18
POINT (235799.75518448107 5071836.692648201),35027.97,19
POINT (235799.75518448107 5073239.806290317),35431.96,20
POINT (235799.75518448107 5074643.124134847),29508.56,21
POINT (237022.26310688947 5060619.123096473),14750.75,22
POINT (237022.26310688947 5062020.606628657),14750.75,23
POINT (237022.26310688947 5063422.293583896),14750.75,24
POINT (237022.26310688947 5067628.57596052),20392.69,25
POINT (237022.26310688947 5069031.077580827),25354.14,26
POINT (237022.26310688947 5070433.783110889),34087.85,27
POINT (237022.26310688947 5071836.692648201),35746.2,28
POINT (237022.26310688947 5073239.806290317),35806.05,29
POINT (237022.26310688947 5074643.124134847),30730.21,30
POINT (237022.26310688947 5076046.646279452),19124.44,31
POINT (238244.77102929796 5060619.123096473),14750.75,32
POINT (238244.77102929796 5062020.606628657),14750.75,33
POINT (238244.77102929796 5063422.293583896),14750.75,34
POINT (238244.77102929796 5064824.184059418),16727.43,35
POINT (238244.77102929796 5066226.278152513),18267.74,36
POINT (238244.77102929796 5067628.57596052),20323.28,37
POINT (238244.77102929796 5069031.077580827),25425.18,38
POINT (238244.77102929796 5070433.783110889),32922.33,39
POINT (238244.77102929796 5071836.692648201),32166.45,40
POINT (238244.77102929796 5073239.806290317),28766.88,41
POINT (238244.77102929796 5074643.124134847),20862.84,42
POINT (238244.77102929796 5076046.646279452),18920.05,43
POINT (238244.77102929796 5077450.372821846),19983.48,44
POINT (239467.27895170636 5060619.123096473),14750.75,45
POINT (239467.27895170636 5064824.184059418),15863.81,46
