,geometry,menores3_score
0,POINT (2.063315363155772 41.42102913266343),0.04
1,POINT (2.063315363155772 41.43048282442007),0.04
2,POINT (2.074297338672339 41.41157544090679),0.04
3,POINT (2.074297338672339 41.43048282442007),0.04
4,POINT (2.0852793141889054 41.41157544090679),0.04
5,POINT (2.0852793141889054 41.42102913266343),0.04
6,POINT (2.096261289705473 41.41157544090679),1.55
7,POINT (2.096261289705473 41.42102913266343),1.55
8,POINT (2.096261289705473 41.43048282442007),0.04
9,POINT (2.1072432652220394 41.33594590685368),0.26
10,POINT (2.1072432652220394 41.38321436563687),2.53
11,POINT (2.1072432652220394 41.392668057393514),1.91
12,POINT (2.1072432652220394 41.402121749150155),1.29
13,POINT (2.1072432652220394 41.41157544090679),2.79
14,POINT (2.1072432652220394 41.42102913266343),0.65
15,POINT (2.118225240738607 41.326492215097055),0.26
16,POINT (2.118225240738607 41.33594590685368),0.26
17,POINT (2.118225240738607 41.38321436563687),3.52
18,POINT (2.118225240738607 41.392668057393514),9.81
19,POINT (2.118225240738607 41.402121749150155),7.92
20,POINT (2.118225240738607 41.41157544090679),1.34
21,POINT (2.118225240738607 41.42102913266343),1.57
22,POINT (2.129207216255174 41.326492215097055),0.26
23,POINT (2.129207216255174 41.33594590685368),0.26
24,POINT (2.129207216255174 41.34539959861033),0.26
25,POINT (2.129207216255174 41.37376067388024),19.44
26,POINT (2.129207216255174 41.38321436563687),18.36
27,POINT (2.129207216255174 41.392668057393514),17.48
28,POINT (2.129207216255174 41.402121749150155),12.26
29,POINT (2.129207216255174 41.41157544090679),2.44
30,POINT (2.129207216255174 41.42102913266343),2.63
31,POINT (2.129207216255174 41.43048282442007),1.17
32,POINT (2.140189191771741 41.326492215097055),0.26
33,POINT (2.140189191771741 41.33594590685368),0.26
34,POINT (2.140189191771741 41.34539959861033),0.26
35,POINT (2.140189191771741 41.35485329036695),5.98
36,POINT (2.140189191771741 41.364306982123594),16.48
37,POINT (2.140189191771741 41.37376067388024),22.53
38,POINT (2.140189191771741 41.38321436563687),21.43
39,POINT (2.140189191771741 41.392668057393514),16.65
40,POINT (2.140189191771741 41.402121749150155),24.83
41,POINT (2.140189191771741 41.41157544090679),14.29
42,POINT (2.140189191771741 41.42102913266343),9.35
43,POINT (2.140189191771741 41.43048282442007),4.8
44,POINT (2.140189191771741 41.4399365161767),0.22
45,POINT (2.151171167288308 41.326492215097055),0.26
46,POINT (2.151171167288308 41.35485329036695),1.81
47,POINT (2.151171167288308 41.364306982123594),0.38
48,POINT (2.151171167288308 41.37376067388024),13.51
49,POINT (2.151171167288308 41.38321436563687),22.34
50,POINT (2.151171167288308 41.392668057393514),16.61
51,POINT (2.151171167288308 41.402121749150155),25.84
52,POINT (2.151171167288308 41.41157544090679),17.13
53,POINT (2.151171167288308 41.42102913266343),19.01
54,POINT (2.151171167288308 41.43048282442007),8.48
55,POINT (2.151171167288308 41.4399365161767),2.25
56,POINT (2.162153142804875 41.33594590685368),0.26
57,POINT (2.162153142804875 41.35485329036695),1.0
58,POINT (2.162153142804875 41.364306982123594),0.0
59,POINT (2.162153142804875 41.37376067388024),30.0
60,POINT (2.162153142804875 41.38321436563687),24.19
61,POINT (2.162153142804875 41.392668057393514),11.79
62,POINT (2.162153142804875 41.402121749150155),24.19
63,POINT (2.162153142804875 41.41157544090679),23.02
64,POINT (2.162153142804875 41.42102913266343),10.57
65,POINT (2.162153142804875 41.43048282442007),19.56
66,POINT (2.162153142804875 41.4399365161767),8.57
67,POINT (2.162153142804875 41.449390207933334),2.01
68,POINT (2.173135118321442 41.34539959861033),0.26
69,POINT (2.173135118321442 41.364306982123594),1.0
70,POINT (2.173135118321442 41.37376067388024),18.44
71,POINT (2.173135118321442 41.38321436563687),17.36
72,POINT (2.173135118321442 41.392668057393514),14.34
73,POINT (2.173135118321442 41.402121749150155),26.13
74,POINT (2.173135118321442 41.41157544090679),20.78
75,POINT (2.173135118321442 41.42102913266343),19.24
76,POINT (2.173135118321442 41.43048282442007),27.17
77,POINT (2.173135118321442 41.4399365161767),22.42
78,POINT (2.173135118321442 41.449390207933334),11.47
79,POINT (2.173135118321442 41.45884389968997),7.38
80,POINT (2.1841170938380094 41.38321436563687),10.01
81,POINT (2.1841170938380094 41.392668057393514),16.52
82,POINT (2.1841170938380094 41.402121749150155),17.94
83,POINT (2.1841170938380094 41.41157544090679),24.77
84,POINT (2.1841170938380094 41.42102913266343),24.93
85,POINT (2.1841170938380094 41.43048282442007),19.3
86,POINT (2.1841170938380094 41.4399365161767),20.58
87,POINT (2.1841170938380094 41.449390207933334),18.86
88,POINT (2.1841170938380094 41.45884389968997),6.63
89,POINT (2.1950990693545758 41.38321436563687),3.9
90,POINT (2.1950990693545758 41.392668057393514),8.75
91,POINT (2.1950990693545758 41.402121749150155),13.39
92,POINT (2.1950990693545758 41.41157544090679),17.55
93,POINT (2.1950990693545758 41.42102913266343),13.42
94,POINT (2.1950990693545758 41.43048282442007),12.55
95,POINT (2.1950990693545758 41.4399365161767),10.75
96,POINT (2.1950990693545758 41.449390207933334),10.69
97,POINT (2.2060810448711425 41.392668057393514),4.88
98,POINT (2.2060810448711425 41.402121749150155),17.03
99,POINT (2.2060810448711425 41.41157544090679),17.25
100,POINT (2.2060810448711425 41.42102913266343),18.78
101,POINT (2.2060810448711425 41.43048282442007),4.29
102,POINT (2.2060810448711425 41.4399365161767),5.65
103,POINT (2.21706302038771 41.41157544090679),10.96
