,geometry,competencia_score
0,POINT (2.063315363155772 41.42102913266343),20.0
1,POINT (2.063315363155772 41.43048282442007),20.0
2,POINT (2.074297338672339 41.41157544090679),20.0
3,POINT (2.074297338672339 41.43048282442007),20.0
4,POINT (2.085279314188906 41.41157544090679),20.0
5,POINT (2.085279314188906 41.42102913266343),20.0
6,POINT (2.096261289705473 41.41157544090679),20.0
7,POINT (2.096261289705473 41.42102913266343),20.0
8,POINT (2.096261289705473 41.43048282442007),20.0
9,POINT (2.10724326522204 41.33594590685369),20.0
10,POINT (2.10724326522204 41.38321436563687),20.0
11,POINT (2.10724326522204 41.39266805739351),20.0
12,POINT (2.10724326522204 41.40212174915015),20.0
13,POINT (2.10724326522204 41.41157544090679),20.0
14,POINT (2.10724326522204 41.42102913266343),20.0
15,POINT (2.118225240738607 41.32649221509705),20.0
16,POINT (2.118225240738607 41.33594590685369),20.0
17,POINT (2.118225240738607 41.38321436563687),20.0
18,POINT (2.118225240738607 41.39266805739351),18.333333333333332
19,POINT (2.118225240738607 41.40212174915015),13.333333333333332
20,POINT (2.118225240738607 41.41157544090679),18.333333333333332
21,POINT (2.118225240738607 41.42102913266343),20.0
22,POINT (2.129207216255174 41.32649221509705),20.0
23,POINT (2.129207216255174 41.33594590685369),20.0
24,POINT (2.129207216255174 41.34539959861033),20.0
25,POINT (2.129207216255174 41.37376067388024),18.333333333333332
26,POINT (2.129207216255174 41.38321436563687),8.333333333333332
27,POINT (2.129207216255174 41.39266805739351),18.333333333333332
28,POINT (2.129207216255174 41.40212174915015),20.0
29,POINT (2.129207216255174 41.41157544090679),18.333333333333332
30,POINT (2.129207216255174 41.42102913266343),20.0
31,POINT (2.129207216255174 41.43048282442007),20.0
32,POINT (2.140189191771741 41.32649221509705),20.0
33,POINT (2.140189191771741 41.33594590685369),20.0
34,POINT (2.140189191771741 41.34539959861033),20.0
35,POINT (2.140189191771741 41.35485329036696),18.333333333333332
36,POINT (2.140189191771741 41.3643069821236),18.333333333333332
37,POINT (2.140189191771741 41.37376067388024),1.6666666666666643
38,POINT (2.140189191771741 41.38321436563687),1.6666666666666643
39,POINT (2.140189191771741 41.39266805739351),13.333333333333332
40,POINT (2.140189191771741 41.40212174915015),15.0
41,POINT (2.140189191771741 41.41157544090679),15.0
42,POINT (2.140189191771741 41.42102913266343),16.666666666666668
43,POINT (2.140189191771741 41.43048282442007),15.0
44,POINT (2.140189191771741 41.4399365161767),18.333333333333332
45,POINT (2.151171167288308 41.32649221509705),20.0
46,POINT (2.151171167288308 41.35485329036696),18.333333333333332
47,POINT (2.151171167288308 41.3643069821236),20.0
48,POINT (2.151171167288308 41.37376067388024),13.333333333333332
49,POINT (2.151171167288308 41.38321436563687),13.333333333333332
50,POINT (2.151171167288308 41.39266805739351),13.333333333333332
51,POINT (2.151171167288308 41.40212174915015),8.333333333333332
52,POINT (2.151171167288308 41.41157544090679),13.333333333333332
53,POINT (2.151171167288308 41.42102913266343),13.333333333333332
54,POINT (2.151171167288308 41.43048282442007),18.333333333333332
