,Nom_Barri,Nom_Districte,Latitud,Longitud,Nom_Local
3,Sant Andreu,Sant Andreu,41.432409008,2.186952531,CENTRE INFANTIL LES MANETES
30,el Congrés i els Indians,Sant Andreu,41.424224927,2.178134769,LLAR D'INFANTS DONALD
204,Sant Martí de Provençals,Sant Martí,41.420181274,2.19926253,COL.LEGI SANT RAFAEL EDUCACIO INFANTIL
306,Sant Andreu,Sant Andreu,41.438427505,2.186945826,LLAR D'INFANTS SPLAIT
338,la Vila Olímpica del Poblenou,Sant Martí,41.394507611,2.196265161,ESCOLA BRESSOL COBI
482,Sants,Sants-Montjuïc,41.375843482,2.136784494,ESCOLA BRESSOL EL RATOLINET
1148,Navas,Sant Andreu,41.417337192,2.181035578,LLAR D'INFANTS GUINYOL
1211,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,41.387812928,2.17592597,LA SALLE COMTAL EDUCACIO INFANTIL
1348,la Marina de Port,Sants-Montjuïc,41.35897183,2.134118378,ESCOLA BRESSOL MUNICIPAL EL COTXET
1649,el Clot,Sant Martí,41.411091439,2.193387151,ESCOLA BRESSOL EL CLOT DE LA MEL
1725,la Barceloneta,Ciutat Vella,41.38073014,2.192790359,ESCOLA BRESSOL LA MAR
1744,el Turó de la Peira,Nou Barris,41.432079211,2.171049714,ESCOLA BRESSOL TURÓ
1818,el Raval,Ciutat Vella,41.382541411,2.167805582,ESCOLA BRESSOL CANIGO
2466,la Nova Esquerra de l'Eixample,Eixample,41.380114296,2.148672044,LLAR D'INFANTS I-BETH
2637,el Guinardó,Horta-Guinardó,41.422301181,2.171665281,LLAR D'INFANTS MARE TERESA
2739,la Teixonera,Horta-Guinardó,41.422571696,2.14524284,LLAR D'INFANTS PEBE'S
3681,el Barri Gòtic,Ciutat Vella,41.381047116,2.178915292,EDUCACIO INFANTIL ESCOLA ANGEL BAIXERAS
3802,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,41.398175611,2.141985297,PARVULARIO TAGORE
3981,el Raval,Ciutat Vella,41.378015152,2.167077363,ESCOLA BRESSOL I ESPAI FAMILIAR DE CRIANÇA AURORA
4604,la Bordeta,Sants-Montjuïc,41.367758961,2.133180946,EL GALL I LA GALLINA ESCOLA BRESSOL
4702,la Dreta de l'Eixample,Eixample,41.397240019,2.17036441,LLAR D'INFANTS EL TIMBALET
5106,Sant Andreu,Sant Andreu,41.441180515,2.188791186,ESCOLA INFANTIL RIEROL
6966,Provençals del Poblenou,Sant Martí,41.408661367,2.195495367,CENTRE INFANTIL OLORIEN
7743,Hostafrancs,Sants-Montjuïc,41.372895813,2.142866403,LLAR D'INFANTS EL NIERO
7750,la Guineueta,Nou Barris,41.435398218,2.169511467,ESCOLA INFANTIL LA LLUNA
8106,la Dreta de l'Eixample,Eixample,41.39875362,2.16308343,ESCOLA BRESSOL CASA DELS NENS
8317,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,41.40092899,2.145020217,ESCOLA BRESSOL BRUSI
8394,Sants - Badal,Sants-Montjuïc,41.374472817,2.125820965,GUINYOL ESCOLA D'EDUCACIO INFANTIL
9734,Sarrià,Sarrià-Sant Gervasi,41.398346632,2.122749835,ESCOLA BRESSOL CAN CANET
10209,la Maternitat i Sant Ramon,Les Corts,41.376950459,2.114662975,LLAR D'INFANTS DIDAC
10273,el Congrés i els Indians,Sant Andreu,41.42570214,2.183649391,ESCOLA BRESSOL LA MORERA
10815,la Sagrada Família,Eixample,41.403411659,2.184373587,ESCOLA BRESSOL LEONOR SERRANO
11488,el Fort Pienc,Eixample,41.395166579,2.178639024,ESCOLA MIREIA INFANTIL
11691,Sant Andreu,Sant Andreu,41.432063124,2.185593992,LLAR D'INFANTS EL MAR
12100,el Baix Guinardó,Horta-Guinardó,41.41112966,2.172043473,GAUDI LLAR D'INFANTS
12130,el Baix Guinardó,Horta-Guinardó,41.413314232,2.169122547,LLAR D'INFANTS PAS A PAS
12419,el Poblenou,Sant Martí,41.393932141,2.202411443,ESCOLA BRESSOL LA MAR XICA
12670,el Camp d'en Grassot i Gràcia Nova,Gràcia,41.404917511,2.171111405,COL•LEGI D'EDUCACIO INFANTIL I PRIMARIA SAGRADA FAMILIA
13131,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,41.410304894,2.134709805,ESCOLA BRESSOL HAPPY WAY
13836,el Congrés i els Indians,Sant Andreu,41.426025935,2.184040993,CONGRÉS ESCOLA INFANTIL
13902,Sant Andreu,Sant Andreu,41.432842367,2.184338719,CENTRE INFANTIL MIMA'M
14010,la Verneda i la Pau,Sant Martí,41.419891642,2.203837037,ESCOLA BRESSOL MARGALLO
14026,la Verneda i la Pau,Sant Martí,41.42242588,2.207868397,ESCOLA D'EDUCACIO INFANTIL EL PETIT SANTA MARIA
14105,el Poble Sec,Sants-Montjuïc,41.371836068,2.15830788,LLAR D'INFANTS LA GAVINA
16243,el Camp de l'Arpa del Clot,Sant Martí,41.410329034,2.17881605,ESCOLA BRESSOL CAP I CUA
16451,la Sagrera,Sant Andreu,41.421669641,2.18999818,ESCOLA BRESSOL ICARIA
16567,Sants,Sants-Montjuïc,41.374745544,2.137921751,INSTITUCIO MONTSERRAT EDUCACIO INFANTIL PRIMARIA SECUNDARIA
16983,la Trinitat Nova,Nou Barris,41.448690641,2.184023559,ESCOLA BRESSOL TRINITAT NOVA
17005,la Maternitat i Sant Ramon,Les Corts,41.376644533,2.115735859,LLAR D'INFANTS MONTSERRAT
17008,la Maternitat i Sant Ramon,Les Corts,41.376533835,2.115011662,LLAR D'INFANTS MONTSERRAT
17027,Sarrià,Sarrià-Sant Gervasi,41.399619213,2.119252235,PAUPI CENTRE D'EDUCACIO INFANTIL
17283,el Camp de l'Arpa del Clot,Sant Martí,41.41392976,2.185981572,ESCOLA BRESSOL EL PETIT PRINCEP
17301,la Font d'en Fargues,Horta-Guinardó,41.422262387,2.165813407,ESCOLA BRESSOL TRES TURONS
17428,Porta,Nou Barris,41.43297911,2.177212089,ESCOLA BRESSOL CIUTAT DE MALLORCA
18041,Sant Andreu,Sant Andreu,41.43540224,2.190639228,LLAR D'INFANTS ORFILA-2
18406,Sant Andreu,Sant Andreu,41.431657913,2.191860974,LLAR D'INFANTS BON CAMI
18911,Porta,Nou Barris,41.430969151,2.178215235,ESCOLA INFANTIL MAGNOLIA
19413,la Nova Esquerra de l'Eixample,Eixample,41.380231025,2.149994373,ESCOLA BRESSOL XIULET
19536,la Nova Esquerra de l'Eixample,Eixample,41.38449652,2.144338936,ESCOLA INFANTIL BEGONIA
19712,Hostafrancs,Sants-Montjuïc,41.376982662,2.143051475,ESCOLA JOAN PELEGRI EDUCACIO INFANTIL I PRIMARIA
20247,la Font d'en Fargues,Horta-Guinardó,41.424805157,2.159584612,LLAR D'INFANTS SOLCAR
20327,Sant Martí de Provençals,Sant Martí,41.412732893,2.195011228,LLAR D'INFANTS BLAU
20354,el Clot,Sant Martí,41.414309937,2.192362547,LLAR D'INFANTS SERRALADA
20639,les Corts,Les Corts,41.382172116,2.132114768,ESCOLA BRESSOL CAN NOVELL
20678,el Poble Sec,Sants-Montjuïc,41.370726991,2.164690197,ESCOLA POBLE-SEC I ESCOLA BRESSOL NIC
22210,Sant Martí de Provençals,Sant Martí,41.416526585,2.194147557,ESCOLA BRESSOL L'ESTACIO
22682,el Congrés i els Indians,Sant Andreu,41.423856876,2.18041867,ESCOLA INFANTIL PICAFORT
22683,el Congrés i els Indians,Sant Andreu,41.423910173,2.180428058,ESCOLA INFANTIL PICAFORT
22874,la Font de la Guatlla,Sants-Montjuïc,41.367199357,2.142390311,ESCOLA BRESSOL BELLMUNT
23479,el Congrés i els Indians,Sant Andreu,41.423619552,2.179990858,ESCOLA INFANTIL PICAFORT
23486,el Congrés i els Indians,Sant Andreu,41.423711062,2.179214358,ESCOLA BRESSOL MANIGUA
23518,les Roquetes,Nou Barris,41.446225787,2.172806561,ESCOLA BRESSOL I ESPAI FAMILIAR DE CRIANÇA EL TORRENT
23927,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,41.41119579,2.212311416,ESCOLA BRESSOL DIAGONAL MAR
25350,el Guinardó,Horta-Guinardó,41.417106884,2.171435952,ESCOLA BRESSOL MONTSERRAT
26720,el Clot,Sant Martí,41.40624428,2.188813984,ESCOLA BRESSOL LA FARINERA
27084,Vallcarca i els Penitents,Gràcia,41.419229908,2.14045912,ESCOLA BRESSOL GALATEA
27421,el Camp de l'Arpa del Clot,Sant Martí,41.409762756,2.180593014,LLAR D'INFANTS EL LLIMONER
27855,les Corts,Les Corts,41.388317015,2.142784595,EL LLAPIS CENTRE INFANTIL
