,geometry,num_zonas_verdes,puntuacion
0,POINT (2.063315363155772 41.42102913266343),0,0.0
1,POINT (2.063315363155772 41.43048282442007),0,0.0
2,POINT (2.074297338672339 41.41157544090679),0,0.0
3,POINT (2.074297338672339 41.43048282442007),0,0.0
4,POINT (2.085279314188906 41.41157544090679),0,0.0
5,POINT (2.085279314188906 41.42102913266343),0,0.0
6,POINT (2.096261289705473 41.41157544090679),0,0.0
7,POINT (2.096261289705473 41.42102913266343),1,0.7142857142857142
8,POINT (2.096261289705473 41.43048282442007),0,0.0
9,POINT (2.10724326522204 41.33594590685369),0,0.0
10,POINT (2.10724326522204 41.38321436563687),3,2.142857142857143
11,POINT (2.10724326522204 41.39266805739351),2,1.4285714285714284
12,POINT (2.10724326522204 41.40212174915015),2,1.4285714285714284
13,POINT (2.10724326522204 41.41157544090679),1,0.7142857142857142
14,POINT (2.10724326522204 41.42102913266343),1,0.7142857142857142
15,POINT (2.118225240738607 41.32649221509705),0,0.0
16,POINT (2.118225240738607 41.33594590685369),0,0.0
17,POINT (2.118225240738607 41.38321436563687),6,4.285714285714286
18,POINT (2.118225240738607 41.39266805739351),11,7.857142857142857
19,POINT (2.118225240738607 41.40212174915015),7,5.0
20,POINT (2.118225240738607 41.41157544090679),0,0.0
21,POINT (2.118225240738607 41.42102913266343),3,2.142857142857143
22,POINT (2.129207216255174 41.32649221509705),0,0.0
23,POINT (2.129207216255174 41.33594590685369),0,0.0
24,POINT (2.129207216255174 41.34539959861033),0,0.0
25,POINT (2.129207216255174 41.37376067388024),3,2.142857142857143
26,POINT (2.129207216255174 41.38321436563687),9,6.428571428571429
27,POINT (2.129207216255174 41.39266805739351),9,6.428571428571429
28,POINT (2.129207216255174 41.40212174915015),5,3.5714285714285716
29,POINT (2.129207216255174 41.41157544090679),2,1.4285714285714284
30,POINT (2.129207216255174 41.42102913266343),1,0.7142857142857142
31,POINT (2.129207216255174 41.43048282442007),1,0.7142857142857142
32,POINT (2.140189191771741 41.32649221509705),0,0.0
33,POINT (2.140189191771741 41.33594590685369),0,0.0
34,POINT (2.140189191771741 41.34539959861033),0,0.0
35,POINT (2.140189191771741 41.35485329036696),8,5.7142857142857135
36,POINT (2.140189191771741 41.3643069821236),10,7.142857142857143
37,POINT (2.140189191771741 41.37376067388024),6,4.285714285714286
38,POINT (2.140189191771741 41.38321436563687),12,8.571428571428571
39,POINT (2.140189191771741 41.39266805739351),10,7.142857142857143
40,POINT (2.140189191771741 41.40212174915015),7,5.0
41,POINT (2.140189191771741 41.41157544090679),14,10.0
42,POINT (2.140189191771741 41.42102913266343),6,4.285714285714286
43,POINT (2.140189191771741 41.43048282442007),6,4.285714285714286
44,POINT (2.140189191771741 41.4399365161767),1,0.7142857142857142
45,POINT (2.151171167288308 41.32649221509705),0,0.0
46,POINT (2.151171167288308 41.35485329036696),3,2.142857142857143
47,POINT (2.151171167288308 41.3643069821236),5,3.5714285714285716
48,POINT (2.151171167288308 41.37376067388024),4,2.8571428571428568
49,POINT (2.151171167288308 41.38321436563687),10,7.142857142857143
50,POINT (2.151171167288308 41.39266805739351),12,8.571428571428571
51,POINT (2.151171167288308 41.40212174915015),3,2.142857142857143
52,POINT (2.151171167288308 41.41157544090679),7,5.0
53,POINT (2.151171167288308 41.42102913266343),5,3.5714285714285716
54,POINT (2.151171167288308 41.43048282442007),8,5.7142857142857135
55,POINT (2.151171167288308 41.4399365161767),2,1.4285714285714284
56,POINT (2.162153142804875 41.33594590685369),0,0.0
57,POINT (2.162153142804875 41.35485329036696),0,0.0
58,POINT (2.162153142804875 41.3643069821236),10,7.142857142857143
59,POINT (2.162153142804875 41.37376067388024),13,9.285714285714286
60,POINT (2.162153142804875 41.38321436563687),11,7.857142857142857
61,POINT (2.162153142804875 41.39266805739351),8,5.7142857142857135
62,POINT (2.162153142804875 41.40212174915015),6,4.285714285714286
63,POINT (2.162153142804875 41.41157544090679),3,2.142857142857143
64,POINT (2.162153142804875 41.42102913266343),2,1.4285714285714284
65,POINT (2.162153142804875 41.43048282442007),4,2.8571428571428568
66,POINT (2.162153142804875 41.4399365161767),3,2.142857142857143
67,POINT (2.162153142804875 41.44939020793334),0,0.0
68,POINT (2.173135118321442 41.34539959861033),0,0.0
69,POINT (2.173135118321442 41.3643069821236),2,1.4285714285714284
70,POINT (2.173135118321442 41.37376067388024),9,6.428571428571429
71,POINT (2.173135118321442 41.38321436563687),7,5.0
72,POINT (2.173135118321442 41.39266805739351),9,6.428571428571429
73,POINT (2.173135118321442 41.40212174915015),13,9.285714285714286
74,POINT (2.173135118321442 41.41157544090679),8,5.7142857142857135
75,POINT (2.173135118321442 41.42102913266343),3,2.142857142857143
76,POINT (2.173135118321442 41.43048282442007),6,4.285714285714286
77,POINT (2.173135118321442 41.4399365161767),4,2.8571428571428568
78,POINT (2.173135118321442 41.44939020793334),2,1.4285714285714284
79,POINT (2.173135118321442 41.45884389968997),1,0.7142857142857142
80,POINT (2.184117093838009 41.38321436563687),4,2.8571428571428568
81,POINT (2.184117093838009 41.39266805739351),5,3.5714285714285716
82,POINT (2.184117093838009 41.40212174915015),10,7.142857142857143
83,POINT (2.184117093838009 41.41157544090679),4,2.8571428571428568
84,POINT (2.184117093838009 41.42102913266343),2,1.4285714285714284
85,POINT (2.184117093838009 41.43048282442007),3,2.142857142857143
86,POINT (2.184117093838009 41.4399365161767),5,3.5714285714285716
87,POINT (2.184117093838009 41.44939020793334),4,2.8571428571428568
88,POINT (2.184117093838009 41.45884389968997),0,0.0
89,POINT (2.195099069354576 41.38321436563687),4,2.8571428571428568
90,POINT (2.195099069354576 41.39266805739351),7,5.0
91,POINT (2.195099069354576 41.40212174915015),7,5.0
